GEO_ID,NAME,line_no,label,total,total_moe,total_pct,total_pct_moe,male,male_moe,male_pct,male_pct_moe,female,female_moe,female_pct,female_pct_moe
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",001,Population 18 to 24 years,4200,640,,,1826,461,,,2374,530,,
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",002,Less than high school graduate,140,130,3.3,3.1,108,128,5.9,7,32,55,1.3,2.4
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",003,High school graduate (includes equivalency),388,208,9.2,4.9,125,92,6.8,5,263,185,11.1,7.9
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",004,Some college or associate's degree,3358,603,80,6.1,1440,448,78.9,11.1,1918,515,80.8,6.9
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",005,Bachelor's degree or higher,314,175,7.5,4.1,153,109,8.4,6.2,161,126,6.8,5.5
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",006,Population 25 years and over,4215,371,,,1732,261,,,2483,297,,
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",007,Less than 9th grade,170,105,4,2.5,58,69,3.3,4.2,112,64,4.5,2.5
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",008,"9th to 12th grade, no diploma",226,123,5.4,2.9,141,113,8.1,6.4,85,50,3.4,2
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",009,High school graduate (includes equivalency),1475,365,35,8.4,653,169,37.7,9,822,245,33.1,9.7
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",010,"Some college, no degree",788,286,18.7,6.3,229,152,13.2,8.2,559,231,22.5,8.4
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",011,Associate's degree,410,164,9.7,3.7,160,116,9.2,6.3,250,132,10.1,5.1
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",012,Bachelor's degree,522,210,12.4,4.9,298,144,17.2,7.8,224,126,9,4.9
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",013,Graduate or professional degree,624,215,14.8,5.1,193,111,11.1,6.6,431,164,17.4,6.6
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",014,High school graduate or higher,3819,375,90.6,3.9,1533,274,88.5,6.9,2286,281,92.1,2.9
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",015,Bachelor's degree or higher,1146,321,27.2,7.5,491,178,28.3,10,655,212,26.4,8.3
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",016,Population 25 to 34 years,974,309,,,527,205,,,447,211,,
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",017,High school graduate or higher,926,314,95.1,4.5,505,205,95.8,4.9,421,207,94.2,7.5
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",018,Bachelor's degree or higher,307,154,31.5,14.4,95,60,18,12.1,212,124,47.4,22.1
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",019,Population 35 to 44 years,977,256,,,390,151,,,587,208,,
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",020,High school graduate or higher,929,249,95.1,5,343,148,87.9,12.8,586,208,99.8,0.4
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",021,Bachelor's degree or higher,130,119,13.3,12.8,68,99,17.4,24,62,62,10.6,11.3
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",022,Population 45 to 64 years,1149,229,,,418,103,,,731,173,,
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",023,High school graduate or higher,1022,227,88.9,10.7,334,125,79.9,21.6,688,166,94.1,5.9
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",024,Bachelor's degree or higher,411,171,35.8,13.6,159,84,38,18.8,252,124,34.5,15.9
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",025,Population 65 years and over,1115,179,,,397,96,,,718,140,,
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",026,High school graduate or higher,942,189,84.5,8,351,107,88.4,14.9,591,129,82.3,8.3
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",027,Bachelor's degree or higher,298,121,26.7,9.1,169,73,42.6,14.8,129,83,18,10
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",028,White alone,2660,334,,,1142,201,,,1518,246,,
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",029,High school graduate or higher,2505,334,94.2,3.3,1096,216,96,5.4,1409,230,92.8,3.7
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",030,Bachelor's degree or higher,816,260,30.7,9.2,407,158,35.6,11.9,409,148,26.9,9.8
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",031,"White alone, not Hispanic or Latino",2549,342,,,1124,197,,,1425,236,,
1400000US24045010502,"Census Tract 105.02, Wicomico County, Maryland",032,High school graduate or higher,2411,352,94.6,3.4,1078,212,95.9,5.4,1333,233,93.5,3.8
