GEO_ID,NAME,line_no,label,total,total_moe,lfp_rate,lfp_rate_moe,ep_ratio,ep_ratio_moe,unemployment_rate,unemployment_rate_moe
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",001,Population 16 years and over,7928,585,69,4.2,63.6,4.5,5.2,3.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",002,16 to 19 years,777,244,44.9,14.3,28.8,16.8,35.8,27.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",003,20 to 24 years,763,273,87.4,13.7,85.6,14.5,2.1,3.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",004,25 to 29 years,767,302,90.5,12.3,78.7,14.2,10.5,15.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",005,30 to 34 years,897,207,88.6,11.6,79.9,13.6,2.4,4.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",006,35 to 44 years,1260,304,78.8,11.4,77,11.3,0,3.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",007,45 to 54 years,1413,320,85.3,7.3,81,7.5,1.2,1.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",008,55 to 59 years,543,186,56,18,49.4,17.2,11.8,14.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",009,60 to 64 years,289,107,79.9,14.7,79.9,14.7,0,14.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",010,65 to 74 years,658,187,28.3,11.1,28.3,11.1,0,18.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",011,75 years and over,561,181,7.7,9.1,7.7,9.1,0,48.6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",012,White alone,4632,533,67.5,5.6,61.9,5.5,5.8,4.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",013,Black or African American alone,2837,511,74.3,8.3,69.1,8.8,4.9,4.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",014,American Indian and Alaska Native alone,60,53,0,41.1,0,41.1,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",015,Asian alone,148,88,35.1,27.3,35.1,27.3,0,44.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",016,Native Hawaiian and Other Pacific Islander alone,0,20,,,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",017,Some other race alone,33,40,100,55.5,100,55.5,0,55.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",018,Two or more races,218,126,67.9,20.7,57.3,25,0,25.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",019,Hispanic or Latino origin (of any race),328,226,88.4,17.3,88.4,17.3,0,12.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",020,"White alone, not Hispanic or Latino",4355,503,66.3,5.8,60.4,5.6,6.3,4.4
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",021,Population 20 to 64 years,5932,525,82.4,4.1,77.3,4.7,3.2,2.7
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",022,Male,2586,374,87.9,5.6,79,8.5,5.6,5.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",023,Female,3346,294,78.2,7.1,76.1,7.1,1.2,1.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",024,With own children under 18 years,1609,294,82.7,9.9,78.4,10.3,2.5,2.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",025,With own children under 6 years only,440,174,79.8,21.8,72.3,23,4.2,7.6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",026,With own children under 6 years and 6 to 17  years,393,211,71.2,26.2,71.2,26.2,0,12.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",027,With own children 6 to 17 years only,776,262,90.2,10.1,85.4,11.2,2.6,4.4
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",028,Below poverty level,1032,331,68.3,13.3,67.2,13.7,1.7,2.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",029,At or above the poverty level,4900,630,85.4,4.4,79.5,5.2,3.5,3.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",030,With any disability,610,219,43.4,19.9,39.5,19.9,9.1,15.7
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",031,Population 25 to 64 years,5169,501,81.7,5,76.1,5.2,3.4,3.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",032,Less than high school graduate,197,133,39.6,36.8,39.6,36.8,0,35.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",033,High school graduate (includes equivalency),1878,389,77.9,9.7,69.6,9.4,7.7,7.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",034,Some college or associate's degree,1514,325,78.5,8.5,70.6,8.7,1.7,2.7
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",035,Bachelor's degree or higher,1580,357,94.4,3.7,93.7,3.9,0.8,1.3
