GEO_ID,NAME,line_no,label,total,total_moe,total_pct,total_pct_moe,male,male_moe,male_pct,male_pct_moe,female,female_moe,female_pct,female_pct_moe
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",001,Population 18 to 24 years,1050,330,,,370,173,,,680,266,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",002,Less than high school graduate,189,184,18,14.9,64,75,17.3,18.8,125,141,18.4,17.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",003,High school graduate (includes equivalency),333,193,31.7,14.4,85,96,23,25.8,248,166,36.5,17.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",004,Some college or associate's degree,501,247,47.7,24.2,212,155,57.3,28.9,289,185,42.5,30.6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",005,Bachelor's degree or higher,27,35,2.6,3.4,9,24,2.4,6.3,18,28,2.6,4.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",006,Population 25 years and over,6388,488,,,2866,326,,,3522,278,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",007,Less than 9th grade,150,116,2.3,1.8,32,44,1.1,1.5,118,92,3.4,2.6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",008,"9th to 12th grade, no diploma",221,146,3.5,2.3,0,20,0,1.3,221,146,6.3,4.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",009,High school graduate (includes equivalency),2069,397,32.4,5.7,1055,274,36.8,7.6,1014,267,28.8,8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",010,"Some college, no degree",1255,274,19.6,3.8,577,210,20.1,6.6,678,199,19.3,5.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",011,Associate's degree,575,182,9,2.8,263,119,9.2,4.1,312,116,8.9,3.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",012,Bachelor's degree,1338,368,20.9,5.4,591,172,20.6,6.2,747,284,21.2,7.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",013,Graduate or professional degree,780,228,12.2,3.5,348,137,12.1,4.9,432,155,12.3,4.2
