GEO_ID,NAME,line_no,label,total,total_moe,total_pct,total_pct_moe,male,male_moe,male_pct,male_pct_moe,female,female_moe,female_pct,female_pct_moe
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",001,Total population,10994,906,,,5284,676,,,5710,560,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",002,Under 5 years,1172,284,10.7,2.7,710,255,13.4,4.5,462,219,8.1,3.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",003,5 to 9 years,1030,294,9.4,2.3,670,216,12.7,3.7,360,183,6.3,3.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",004,10 to 14 years,697,259,6.3,2.1,303,185,5.7,3.2,394,204,6.9,3.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",005,15 to 19 years,944,310,8.6,2.5,437,221,8.3,3.6,507,196,8.9,3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",006,20 to 24 years,763,273,6.9,2.4,298,172,5.6,3.1,465,179,8.1,3.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",007,25 to 29 years,767,302,7,2.6,356,214,6.7,4,411,228,7.2,3.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",008,30 to 34 years,897,207,8.2,1.9,301,124,5.7,2.3,596,161,10.4,2.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",009,35 to 39 years,672,267,6.1,2.2,338,153,6.4,2.8,334,173,5.8,2.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",010,40 to 44 years,588,217,5.3,2,286,151,5.4,3,302,131,5.3,2.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",011,45 to 49 years,816,232,7.4,2.1,294,127,5.6,2.4,522,151,9.1,2.7
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",012,50 to 54 years,597,219,5.4,1.9,350,134,6.6,2.5,247,135,4.3,2.4
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",013,55 to 59 years,543,186,4.9,1.8,224,100,4.2,1.9,319,150,5.6,2.7
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",014,60 to 64 years,289,107,2.6,1,139,98,2.6,1.9,150,84,2.6,1.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",015,65 to 69 years,292,125,2.7,1.2,173,82,3.3,1.6,119,72,2.1,1.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",016,70 to 74 years,366,143,3.3,1.3,161,84,3,1.5,205,83,3.6,1.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",017,75 to 79 years,231,122,2.1,1.1,109,69,2.1,1.3,122,87,2.1,1.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",018,80 to 84 years,260,189,2.4,1.7,119,97,2.3,1.9,141,99,2.5,1.7
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",019,85 years and over,70,66,0.6,0.6,16,24,0.3,0.5,54,60,0.9,1.1
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",020,5 to 14 years,1727,407,15.7,2.8,973,266,18.4,3.7,754,281,13.2,4
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",021,15 to 17 years,657,279,6,2.3,365,209,6.9,3.5,292,167,5.1,2.7
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",022,Under 18 years,3556,631,32.3,3.8,2048,507,38.8,6.1,1508,412,26.4,5.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",023,18 to 24 years,1050,330,9.6,3,370,173,7,3,680,266,11.9,4.6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",024,15 to 44 years,4631,557,42.1,2.7,2016,404,38.2,4.9,2615,389,45.8,4.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",025,16 years and over,7928,585,72.1,3,3474,424,65.7,5.4,4454,373,78,4.2
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",026,18 years and over,7438,513,67.7,3.8,3236,381,61.2,6.1,4202,323,73.6,5.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",027,21 years and over,7056,514,64.2,3.6,3164,379,59.9,6.2,3892,276,68.2,4.9
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",028,60 years and over,1508,205,13.7,2.1,717,124,13.6,2.8,791,136,13.9,2.6
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",029,62 years and over,1340,187,12.2,1.9,639,107,12.1,2.2,701,126,12.3,2.5
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",030,65 years and over,1219,176,11.1,1.8,578,111,10.9,2.3,641,114,11.2,2.3
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",031,75 years and over,561,181,5.1,1.7,244,118,4.6,2.3,317,106,5.6,1.8
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",032,Median age (years),31.1,2.2,,,29.1,5.5,,,31.7,1.7,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",033,Sex ratio (males per 100 females),92.5,14.3,,,,,,,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",034,Age dependency ratio,76.8,10.7,,,,,,,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",035,Old-age dependency ratio,19.6,3.4,,,,,,,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",036,Child dependency ratio,57.2,9.9,,,,,,,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",037,Sex,,,0,,,,,,,,,
1400000US28047003206,"Census Tract 32.06, Harrison County, Mississippi",038,Age,,,1.8,,,,,,,,,
