GEO_ID,NAME,line_no,label,total,total_moe,total_pct,total_pct_moe,male,male_moe,male_pct,male_pct_moe,female,female_moe,female_pct,female_pct_moe
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",055,Less than high school graduate,,,16.5,15.4,,,18.2,29.4,,,14.8,10.9
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",056,High school graduate (includes equivalency),,,16.4,9.2,,,22.5,14.1,,,8.7,8.6
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",057,Some college or associate's degree,,,17.4,9.5,,,9.1,10.4,,,23.6,12.5
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",058,Bachelor's degree or higher,,,3.4,3.3,,,0,7.5,,,5.8,5.9
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",059,Population 25 years and over with earnings,34236,14525,,,40734,3309,,,25328,8795,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",060,Less than high school graduate,50276,23017,,,51211,17146,,,23482,23350,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",061,High school graduate (includes equivalency),21270,2981,,,,,,,20701,1791,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",062,Some college or associate's degree,27294,15474,,,38333,33433,,,27118,13853,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",063,Bachelor's degree,42138,10579,,,50804,16209,,,40886,9022,,
1400000US28047003301,"Census Tract 33.01, Harrison County, Mississippi",064,Graduate or professional degree,39515,20861,,,47793,40666,,,,,,
